iter	RMSE
0	67456.36993
1	66624.22378
2	65855.92887
3	65199.21305
4	64560.1496
5	63986.58714
6	63156.87533
7	62522.46037
8	61763.57551
9	61166.20106
10	60513.35741
11	59955.28541
12	59353.38581
13	58909.60048
14	58305.1565
15	57807.92801
16	57300.34644
17	56882.77028
18	56394.02838
19	56001.12654
20	55590.40294
21	55147.09426
22	54733.40685
23	54421.27135
24	54110.34447
25	53787.59581
26	53542.02245
27	53232.59128
28	52917.34606
29	52649.33261
30	52376.7105
31	52170.11816
32	51939.17247
33	51747.79152
34	51488.3176
35	51261.32014
36	51079.61546
37	50859.60112
38	50702.07541
39	50513.10357
40	50497.78505
41	50301.92865
42	50149.49921
43	50012.70502
44	49894.03249
45	49783.39203
46	49652.65385
47	49488.39197
48	49356.65187
49	49235.40748
50	49125.04422
51	49000.95288
52	48879.60085
53	48777.68524
54	48681.44944
55	48582.18236
56	48482.51315
57	48405.88609
58	48292.53422
59	48208.86134
60	48129.09634
61	48047.8139
62	47929.34062
63	47827.55285
64	47771.60298
65	47711.7876
66	47637.29126
67	47534.7146
68	47474.73198
69	47400.44405
70	47329.57307
71	47259.83989
72	47181.13541
73	47134.4234
74	47079.5941
75	46994.47894
76	46923.07948
77	46858.22938
78	46830.02974
79	46781.33983
80	46715.45868
81	46660.55817
82	46624.51802
83	46547.91779
84	46498.20792
85	46464.02838
86	46406.77544
87	46386.73091
88	46339.62689
89	46285.7634
90	46242.65246
91	46195.15862
92	46149.9379
93	46142.9394
94	46124.80005
95	46098.44791
96	46063.4085
97	46029.49467
98	45983.61226
99	45968.76677
100	45930.03074
101	45896.64028
102	45848.791
103	45826.18709
104	45777.48518
105	45739.51461
106	45695.84949
107	45677.75607
108	45641.91127
109	45608.22555
110	45574.86405
111	45551.62096
112	45540.5725
113	45511.84709
114	45478.37414
115	45468.2202
116	45445.47464
117	45434.83138
118	45402.73078
119	45337.14896
120	45309.69378
121	45293.2787
122	45258.34622
123	45226.76169
124	45225.78456
125	45194.8563
126	45158.13403
127	45149.0272
128	45123.18535
129	45095.42693
130	45078.36423
131	45044.48838
132	45026.50996
133	45004.71557
134	44974.98277
135	44949.40701
136	44934.60808
137	44894.5512
138	44868.86916
139	44843.67552
140	44826.52669
141	44813.41905
142	44809.18528
143	44792.10923
144	44772.46163
145	44761.81987
146	44746.31224
147	44722.22327
148	44704.85663
149	44677.79403
150	44674.59129
151	44657.34199
152	44634.47926
153	44631.85404
154	44607.97877
155	44591.45941
156	44579.23542
157	44561.79715
158	44546.32843
159	44531.03406
