iter	Passed	Remaining
0	54	54688
1	54	27382
2	54	18277
3	55	13771
4	55	11022
5	55	9185
6	55	7912
7	55	6928
8	55	6163
9	56	5568
10	56	5069
11	56	4653
12	56	4304
13	56	3999
14	56	3738
15	57	3512
16	57	3325
17	57	3143
18	57	2992
19	58	2857
20	58	2729
21	58	2622
22	59	2528
23	59	2430
24	59	2336
25	60	2276
26	60	2194
27	60	2116
28	61	2045
29	61	1990
30	61	1935
31	62	1880
32	62	1835
33	62	1786
34	63	1745
35	63	1703
36	63	1661
37	63	1619
38	64	1581
39	64	1547
40	64	1508
41	64	1473
42	64	1440
43	65	1414
44	65	1382
45	65	1357
46	65	1333
47	66	1311
48	66	1291
49	66	1266
50	66	1245
51	67	1221
52	67	1201
53	67	1181
54	67	1162
55	67	1145
56	68	1128
57	68	1109
58	68	1091
59	68	1076
60	68	1059
61	68	1043
62	69	1030
63	69	1014
64	69	1000
65	69	984
66	69	973
67	70	959
68	70	946
69	71	944
70	71	940
71	71	927
72	72	920
73	72	911
74	73	900
75	73	888
76	73	878
77	73	870
78	73	862
79	74	857
80	74	847
81	74	837
82	74	827
83	75	818
84	75	808
85	75	799
86	75	791
87	75	781
88	75	776
89	76	768
90	76	765
91	77	761
92	77	753
93	77	746
94	77	739
95	77	733
96	78	726
97	78	720
98	78	714
99	78	707
100	78	700
101	79	695
102	79	691
103	79	688
104	80	683
105	80	680
106	80	674
107	81	670
108	81	666
109	81	662
110	82	658
111	82	654
112	82	650
113	83	646
114	83	641
115	83	636
116	83	631
117	84	628
118	84	625
119	84	620
120	84	616
121	84	611
122	85	606
123	85	601
124	85	596
125	85	591
126	85	587
127	85	583
128	85	578
129	85	574
130	86	572
131	86	570
132	87	567
133	87	564
134	87	560
135	87	558
136	87	554
137	88	550
138	88	546
139	88	543
140	88	541
141	88	537
142	89	533
143	89	529
144	89	526
145	89	523
146	89	519
147	89	515
148	89	512
149	90	510
150	90	507
151	90	504
152	90	502
153	90	499
154	90	495
155	91	492
156	91	489
157	91	487
158	91	485
159	92	486
160	92	483
161	93	482
162	93	479
163	93	478
164	94	479
165	94	477
166	95	474
167	95	474
168	95	471
169	96	470
170	96	467
171	96	465
172	96	462
173	97	460
174	97	458
175	97	455
176	97	453
177	97	450
178	97	447
179	98	447
180	98	445
181	98	444
182	99	443
183	99	440
184	99	438
185	99	435
186	99	433
187	99	431
188	100	429
189	101	431
190	101	429
191	101	428
192	102	427
193	102	426
194	102	424
195	102	422
196	103	420
197	103	418
198	103	417
199	103	415
200	104	413
201	104	411
202	104	409
203	104	407
204	104	405
205	104	403
206	104	402
207	105	400
208	105	398
209	105	396
210	105	394
211	105	392
212	105	390
213	106	390
214	106	389
215	106	388
216	107	386
217	107	384
218	108	386
219	108	384
220	108	383
221	109	384
222	110	383
223	110	381
224	110	380
225	110	378
226	110	377
227	111	376
228	111	374
229	111	372
230	111	371
231	111	370
232	112	369
233	112	368
234	112	366
235	112	365
236	112	363
237	113	362
238	113	360
239	114	361
240	114	360
241	114	359
242	114	357
243	114	356
244	115	355
245	115	354
246	115	352
247	115	351
248	115	349
249	116	348
250	116	347
251	116	346
252	116	345
253	117	343
254	117	342
255	117	341
256	117	340
257	118	340
258	118	339
259	118	338
260	119	337
261	119	335
262	119	334
263	119	334
264	120	332
265	120	331
266	120	330
267	120	329
268	120	328
269	120	327
270	122	328
271	122	328
272	123	327
273	123	326
274	123	325
275	123	324
276	124	324
277	124	323
278	124	322
279	124	321
280	125	320
281	125	319
282	125	318
283	125	317
284	125	315
285	126	314
286	126	313
287	126	313
288	126	312
289	127	311
290	127	310
291	127	309
292	127	307
293	127	306
294	127	305
295	128	305
296	128	303
297	128	303
298	128	301
299	128	300
300	128	299
301	129	298
302	129	297
303	129	297
304	129	296
305	130	294
306	130	294
307	130	293
308	130	291
309	130	290
310	130	289
311	131	288
312	131	288
313	132	288
314	132	287
315	132	286
316	132	285
317	132	284
318	132	283
319	133	282
320	133	281
321	133	280
322	133	279
323	133	278
324	134	278
325	134	277
326	134	276
327	134	275
328	134	274
329	134	273
330	135	273
331	135	272
332	135	271
333	135	270
334	135	269
335	135	268
336	136	267
337	136	267
338	136	266
339	136	265
340	137	264
341	137	263
342	137	263
343	137	262
344	137	261
345	137	260
346	138	260
347	138	259
348	138	258
349	138	257
350	138	256
351	139	255
352	139	255
353	139	254
354	139	253
355	139	253
356	140	252
357	140	251
358	140	250
359	140	250
360	141	249
361	141	249
362	144	253
363	144	252
364	144	251
365	144	250
366	144	249
367	144	248
368	145	248
369	145	248
370	145	247
371	146	247
372	146	246
373	146	245
374	147	245
375	147	244
376	147	243
377	148	243
378	148	242
379	148	242
380	148	241
381	149	241
382	149	240
383	149	239
384	149	238
385	149	238
386	150	237
387	150	236
388	150	236
389	150	235
390	150	234
391	150	233
392	151	233
393	151	232
394	151	232
395	151	231
396	151	230
397	152	229
398	152	229
399	152	228
400	152	228
401	153	227
402	153	227
403	153	227
404	154	226
405	154	225
406	154	225
407	154	224
408	154	223
409	155	223
410	155	222
411	155	221
412	155	220
413	155	220
414	155	219
415	155	218
416	155	217
417	155	217
418	156	216
419	156	215
420	156	214
421	156	214
422	156	213
423	156	212
424	156	212
425	157	211
426	157	211
427	157	210
428	157	210
429	157	209
430	158	208
431	158	207
432	158	207
433	158	207
434	159	206
435	159	206
436	159	205
437	160	205
438	160	204
439	160	203
440	160	203
441	160	202
442	160	202
443	161	201
444	161	201
445	161	200
446	161	200
447	162	199
448	162	199
449	162	198
450	162	197
451	162	197
452	163	197
453	163	196
454	163	195
455	163	195
456	163	194
457	164	194
458	164	193
459	164	192
460	164	192
461	164	191
462	164	190
463	164	190
464	165	189
465	165	189
466	165	188
467	165	188
468	166	188
469	166	187
470	166	186
471	166	186
472	166	185
473	166	184
474	166	184
475	167	183
476	167	183
477	167	182
478	167	182
479	167	181
480	167	181
481	168	180
482	168	180
483	168	179
484	168	178
485	168	178
486	168	177
487	169	177
488	169	177
489	169	176
490	170	176
491	170	176
492	170	175
493	170	174
494	170	174
495	170	173
496	171	173
497	171	172
498	171	172
499	171	171
500	171	171
501	172	170
502	172	170
503	172	169
504	172	169
505	172	168
506	172	168
507	173	167
508	173	167
509	173	166
510	173	166
511	174	165
512	174	165
513	174	165
514	175	164
515	175	164
516	175	163
517	175	163
518	175	162
519	175	162
520	176	161
521	176	161
522	176	160
523	176	160
524	176	159
525	176	159
526	176	158
527	176	158
528	177	157
529	177	157
530	177	157
531	178	156
532	178	156
533	178	155
534	178	155
535	179	155
536	179	154
537	179	154
538	179	153
539	179	153
540	180	152
541	180	152
542	180	152
543	180	151
544	181	151
545	181	151
546	181	150
547	182	150
548	182	149
549	182	149
550	182	149
551	182	148
552	183	148
553	183	147
554	183	147
555	184	146
556	184	146
557	184	146
558	184	145
559	184	145
560	185	144
561	185	144
562	185	143
563	185	143
564	185	143
565	186	142
566	186	142
567	186	142
568	187	141
569	187	141
570	187	140
571	187	140
572	188	140
573	188	139
574	188	139
575	188	138
576	189	138
577	189	138
578	189	137
579	189	137
580	189	136
581	189	136
582	190	136
583	190	135
584	190	135
585	190	134
586	191	134
587	191	134
588	191	133
589	191	133
590	192	132
591	192	132
592	192	132
593	193	132
594	193	131
595	193	131
596	193	130
597	194	130
598	194	130
599	194	129
600	194	129
601	195	128
602	195	128
603	195	128
604	196	128
605	196	127
606	196	127
607	197	127
608	197	126
609	197	126
610	197	125
611	197	125
612	198	125
613	198	124
614	198	124
615	199	124
616	199	123
617	199	123
618	199	122
619	200	122
620	200	122
621	200	121
622	200	121
623	201	121
624	201	121
625	201	120
626	202	120
627	202	119
628	202	119
629	202	119
630	203	118
631	203	118
632	203	117
633	203	117
634	203	117
635	204	116
636	204	116
637	204	116
638	204	115
639	205	115
640	205	114
641	205	114
642	205	114
643	206	114
644	206	113
645	206	113
646	207	112
647	207	112
648	207	112
649	207	111
650	207	111
651	208	111
652	208	110
653	208	110
654	209	110
655	209	109
656	209	109
657	210	109
658	210	108
659	210	108
660	210	108
661	211	107
662	211	107
663	212	107
664	212	107
665	212	106
666	212	106
667	213	105
668	213	105
669	213	105
670	214	104
671	214	104
672	214	104
673	214	103
674	215	103
675	215	103
676	215	102
677	216	102
678	216	102
679	216	101
680	217	101
681	217	101
682	218	101
683	218	100
684	218	100
685	218	100
686	218	99
687	218	99
688	218	98
689	219	98
690	219	98
691	219	97
692	219	97
693	220	97
694	220	96
695	220	96
696	220	96
697	221	95
698	221	95
699	221	94
700	221	94
701	222	94
702	222	93
703	222	93
704	222	93
705	223	92
706	223	92
707	223	92
708	223	91
709	224	91
710	224	91
711	224	91
712	225	90
713	225	90
714	225	89
715	225	89
716	226	89
717	226	88
718	226	88
719	226	88
720	227	87
721	227	87
722	227	87
723	227	86
724	228	86
725	228	86
726	228	85
727	228	85
728	229	85
729	229	84
730	229	84
731	229	84
732	230	83
733	230	83
734	230	83
735	230	82
736	231	82
737	231	82
738	231	81
739	231	81
740	231	81
741	232	80
742	232	80
743	232	80
744	233	79
745	233	79
746	233	79
747	233	78
748	234	78
749	234	78
750	234	77
751	235	77
752	235	77
753	235	76
754	235	76
755	236	76
756	236	75
757	236	75
758	236	75
759	236	74
760	236	74
761	237	74
762	237	73
763	237	73
764	237	73
765	238	72
766	238	72
767	238	72
768	239	71
769	239	71
770	239	71
771	240	70
772	240	70
773	240	70
774	241	69
775	241	69
776	241	69
777	241	68
778	241	68
779	242	68
780	242	67
781	242	67
782	242	67
783	242	66
784	243	66
785	243	66
786	243	65
787	244	65
788	244	65
789	244	65
790	245	64
791	245	64
792	245	64
793	245	63
794	245	63
795	245	62
796	245	62
797	245	62
798	246	61
799	246	61
800	246	61
801	247	61
802	247	60
803	247	60
804	247	60
805	247	59
806	248	59
807	248	59
808	248	58
809	248	58
810	249	58
811	249	57
812	249	57
813	250	57
814	250	56
815	250	56
816	250	56
817	250	55
818	251	55
819	251	55
820	251	54
821	251	54
822	252	54
823	252	53
824	252	53
825	252	53
826	252	52
827	253	52
828	253	52
829	253	51
830	253	51
831	254	51
832	254	50
833	254	50
834	254	50
835	254	50
836	255	49
837	255	49
838	256	49
839	256	48
840	256	48
841	257	48
842	257	47
843	257	47
844	258	47
845	258	47
846	258	46
847	258	46
848	258	46
849	259	45
850	259	45
851	259	45
852	259	44
853	260	44
854	260	44
855	260	43
856	260	43
857	261	43
858	261	42
859	261	42
860	261	42
861	262	41
862	262	41
863	262	41
864	262	41
865	263	40
866	263	40
867	263	40
868	264	39
869	264	39
870	264	39
871	264	38
872	265	38
873	265	38
874	265	37
875	265	37
876	266	37
877	266	37
878	266	36
879	267	36
880	267	36
881	267	35
882	267	35
883	267	35
884	267	34
885	268	34
886	268	34
887	268	33
888	268	33
889	269	33
890	269	32
891	269	32
892	269	32
893	269	32
894	270	31
895	270	31
896	270	31
897	271	30
898	271	30
899	271	30
900	272	29
901	272	29
902	272	29
903	273	29
904	273	28
905	273	28
906	273	28
907	273	27
908	274	27
909	274	27
910	274	26
911	275	26
912	275	26
913	275	25
914	275	25
915	275	25
916	275	24
917	276	24
918	276	24
919	276	24
920	276	23
921	276	23
922	276	23
923	276	22
924	276	22
925	276	22
926	276	21
927	277	21
928	277	21
929	277	20
930	277	20
931	277	20
932	277	19
933	277	19
934	277	19
935	277	18
936	277	18
937	277	18
938	278	18
939	278	17
940	278	17
941	278	17
942	278	16
943	278	16
944	278	16
945	278	15
946	278	15
947	278	15
948	278	14
949	278	14
950	279	14
951	279	14
952	279	13
953	279	13
954	279	13
955	279	12
956	279	12
957	279	12
958	279	11
959	279	11
960	279	11
961	280	11
962	280	10
963	280	10
964	280	10
965	281	9
966	281	9
967	281	9
968	282	9
969	282	8
970	282	8
971	282	8
972	283	7
973	283	7
974	283	7
975	284	6
976	284	6
977	285	6
978	289	6
979	289	5
980	290	5
981	290	5
982	290	5
983	290	4
984	291	4
985	291	4
986	291	3
987	291	3
988	291	3
989	291	2
990	291	2
991	291	2
992	291	2
993	292	1
994	292	1
995	292	1
996	292	0
997	292	0
998	292	0
999	292	0
